bldg_name,district,price,sq_ft,price_total,price_sq_ft,latitude,longitude,num_gyms_within_100m,num_cafes_within_100m,num_restaurants_within_100m
International Commerce Centre (ICC),TSIM SHA TSUI,646275,8617,646275,75,22.3034032,114.1601907,1.0,3.0,13.0
Central Crossing,CENTRAL,635940,10599,635940,60,22.283431,114.1541085,11.0,13.0,20.0
Central Crossing,CENTRAL,635940,10599,635940,60,22.283431,114.1541085,11.0,13.0,20.0
Central Crossing,CENTRAL,635940,10599,635940,60,22.283431,114.1541085,11.0,13.0,20.0
China Taiping Finance Centre,NORTH POINT,631098,10179,631098,62,22.2887193,114.1914023,0.0,3.0,20.0
Cheung Kong Center,CENTRAL,628935,5469,628935,115,22.2794704,114.1603101,0.0,2.0,4.0
Cheung Kong Center,CENTRAL,627120,5226,627120,120,22.2794704,114.1603101,0.0,2.0,4.0
Cheung Kong Center,CENTRAL,626080,4816,626080,130,22.2794704,114.1603101,0.0,2.0,4.0
"Nathan Road, 352",JORDAN,625176,16452,625176,38,22.3071255,114.171608,3.0,6.0,20.0
Mira Place Tower A (Miramar Tower),TSIM SHA TSUI,623917,12733,623917,49,22.301131,114.1726444,4.0,11.0,20.0
Plaza 2000,CAUSEWAY BAY,620352,2872,620352,216,22.2786238,114.1816028,7.0,15.0,20.0
Central Plaza,WAN CHAI,620144,11074,620144,56,22.2799097,114.1737282,0.0,0.0,0.0
China Building,CENTRAL,613535,9439,613535,65,22.281752,114.156841,7.0,10.0,20.0
"Nathan Road, 352",JORDAN,609672,16044,609672,38,22.3071255,114.171608,3.0,6.0,20.0
Agricultural Bank Of China Tower,CENTRAL,604695,5759,604695,105,22.2850642,114.1558991,1.0,10.0,20.0
Three Garden Road - ICBC Tower,CENTRAL,602454,6478,602454,93,22.2783737,114.1609727,1.0,3.0,10.0
Lippo Centre - Tower 1,ADMIRALTY,600480,13344,600480,45,22.2791796,114.1636752,0.0,3.0,17.0
"Nathan Road, 352",JORDAN,599526,15777,599526,38,22.3071255,114.171608,3.0,6.0,20.0
Millennium City 1 - Tower 01,KWUN TONG,596936,20584,596936,29,22.3136835,114.2212449,1.0,3.0,20.0
Millennium City 1 - Tower 01,KWUN TONG,596936,20584,596936,29,22.3136835,114.2212449,1.0,3.0,20.0
Millennium City 1 - Tower 01,KWUN TONG,596936,20584,596936,29,22.3136835,114.2212449,1.0,3.0,20.0
Millennium City 1 - Tower 01,KWUN TONG,596936,20584,596936,29,22.3136835,114.2212449,1.0,3.0,20.0
Millennium City 1 - Tower 01,KWUN TONG,596936,20584,596936,29,22.3136835,114.2212449,1.0,3.0,20.0
Capital Centre,WAN CHAI,596892,18883,596892,31,22.2794349,114.1772835,1.0,1.0,20.0
Agricultural Bank Of China Tower,CENTRAL,590850,6565,590850,90,22.2850642,114.1558991,1.0,10.0,20.0
The Center,CENTRAL,589120,8416,589120,70,22.2846202,114.1547347,3.0,17.0,20.0
"Pacific Place, Six",WAN CHAI,587760,7347,587760,80,22.2769704,114.1689714,4.0,12.0,20.0
"Pacific Place, Six",WAN CHAI,587760,7347,587760,80,22.2769704,114.1689714,4.0,12.0,20.0
Cheung Kong Center II,CENTRAL,579480,5268,579480,110,22.2810482,114.1626069,1.0,3.0,8.0
Cheung Kong Center II,CENTRAL,579480,5268,579480,110,22.2810482,114.1626069,1.0,3.0,8.0
Cheung Kong Center II,CENTRAL,579480,5268,579480,110,22.2810482,114.1626069,1.0,3.0,8.0
Cheung Kong Center II,CENTRAL,579480,5268,579480,110,22.2810482,114.1626069,1.0,3.0,8.0
Cheung Kong Center II,CENTRAL,579480,5268,579480,110,22.2810482,114.1626069,1.0,3.0,8.0
Cheung Kong Center II,CENTRAL,579480,5268,579480,110,22.2810482,114.1626069,1.0,3.0,8.0
Cheung Kong Center II,CENTRAL,579480,5268,579480,110,22.2810482,114.1626069,1.0,3.0,8.0
"Pacific Place, Six",WAN CHAI,573000,7640,573000,75,22.2769704,114.1689714,4.0,12.0,20.0
"Pacific Place, Six",WAN CHAI,573000,7640,573000,75,22.2769704,114.1689714,4.0,12.0,20.0
Harcourt House,WAN CHAI,562320,12496,562320,45,22.2790727,114.1698835,0.0,0.0,10.0
"Pacific Place, Six",WAN CHAI,558825,7451,558825,75,22.2769704,114.1689714,4.0,12.0,20.0
Three Garden Road - Champion Tower,CENTRAL,557349,5993,557349,93,22.2784355,114.160606,1.0,4.0,10.0
Grand Millennium Plaza,SHEUNG WAN,556236,15451,556236,36,22.2856235,114.1529485,10.0,10.0,20.0
"Pacific Place, Six",WAN CHAI,551025,7347,551025,75,22.2769704,114.1689714,4.0,12.0,20.0
Three Garden Road - ICBC Tower,CENTRAL,546003,5871,546003,93,22.2783737,114.1609727,1.0,3.0,10.0
"Pacific Place, Six",WAN CHAI,544875,7265,544875,75,22.2769704,114.1689714,4.0,12.0,20.0
Cheung Kong Center,CENTRAL,542880,4176,542880,130,22.2794704,114.1603101,0.0,2.0,4.0
Grand Millennium Plaza,SHEUNG WAN,540785,15451,540785,35,22.2856235,114.1529485,10.0,10.0,20.0
China Taiping Finance Centre,NORTH POINT,531440,7592,531440,70,22.2887193,114.1914023,0.0,3.0,20.0
YF Life Centre,WAN CHAI,527940,17598,527940,30,22.279064,114.1693057,0.0,0.0,2.0
Agricultural Bank Of China Tower,CENTRAL,525200,6565,525200,80,22.2850642,114.1558991,1.0,10.0,20.0
Capital Centre,WAN CHAI,518991,15727,518991,33,22.2794349,114.1772835,1.0,1.0,20.0
"IFC, Two",CENTRAL,518420,3703,518420,140,22.2852514,114.15931,0.0,6.0,9.0
Crawford House,CENTRAL,518238,8226,518238,63,22.2826315,114.1555936,20.0,12.0,20.0
YF Life Centre,WAN CHAI,517170,17239,517170,30,22.279064,114.1693057,0.0,0.0,2.0
Three Garden Road - ICBC Tower,CENTRAL,515964,5548,515964,93,22.2783737,114.1609727,1.0,3.0,10.0
"IFC, Two",CENTRAL,510160,3644,510160,140,22.2852514,114.15931,0.0,6.0,9.0
China Resources Building,WAN CHAI,507815,9233,507815,55,22.2799943,114.1750916,0.0,0.0,5.0
Capital Centre,WAN CHAI,507375,15375,507375,33,22.2794349,114.1772835,1.0,1.0,20.0
Entertainment Building,CENTRAL,504360,5604,504360,90,22.2814411,114.1564406,18.0,12.0,20.0
Millennium City 1 - Standard Chartered Tower,KWUN TONG,500625,20025,500625,25,22.3135663,114.2216182,2.0,5.0,20.0
Millennium City 1 - Standard Chartered Tower,KWUN TONG,500625,20025,500625,25,22.3135663,114.2216182,2.0,5.0,20.0
Chubb Tower (Windsor House),CAUSEWAY BAY,500472,13902,500472,36,22.280292,114.1864779,4.0,2.0,20.0
Infinitus Plaza,SHEUNG WAN,499758,11899,499758,42,22.2864399,114.1536781,2.0,8.0,20.0
Infinitus Plaza,SHEUNG WAN,499758,11899,499758,42,22.2864399,114.1536781,2.0,8.0,20.0
The Center,CENTRAL,495375,6605,495375,75,22.2846202,114.1547347,3.0,17.0,20.0
"Yee Wo Street, 68",CAUSEWAY BAY,494844,17673,494844,28,22.2791924,114.1865722,6.0,4.0,20.0
Millennium City 1 - Standard Chartered Tower,KWUN TONG,494208,20592,494208,24,22.3135663,114.2216182,2.0,5.0,20.0
Cheung Kong Center,CENTRAL,494125,3953,494125,125,22.2794704,114.1603101,0.0,2.0,4.0
Harcourt House,WAN CHAI,492570,10946,492570,45,22.2790727,114.1698835,0.0,0.0,10.0
Cheung Kong Center,CENTRAL,492500,3940,492500,125,22.2794704,114.1603101,0.0,2.0,4.0
Chubb Tower (Windsor House),CAUSEWAY BAY,490716,13631,490716,36,22.280292,114.1864779,4.0,2.0,20.0
Chuang's London Plaza,JORDAN,489973,17108,489973,28,22.3034473,114.1715118,4.0,3.0,20.0
K11 Atelier Victoria Dockside,TSIM SHA TSUI,488920,5752,488920,85,22.2949178,114.1755332,2.0,6.0,19.0
AIA Tower,NORTH POINT,487149,12491,487149,39,22.2880413,114.1923207,3.0,9.0,20.0
