bldg_name,district,sq_ft,price_total,price_sq_ft,latitude,longitude,num_gyms_within_100m,num_cafes_within_100m,num_restaurants_within_100m,nearest_mtr_distance_m,nearest_mtr_name,stations_within_1km
Cheung Kong Center,CENTRAL,9234,1385100,150,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center,CENTRAL,11066,1383250,125,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center,CENTRAL,10505,1365650,130,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center,CENTRAL,10008,1301040,130,22.28,114.16,0,2,4,399.41,Central,3
United Centre,ADMIRALTY,31410,1256400,40,22.28,114.17,0,5,12,140.36,Admiralty,3
Cheung Kong Center,CENTRAL,9473,1184125,125,22.28,114.16,0,2,4,399.41,Central,3
China Resources Building,WAN CHAI,20862,1147410,55,22.28,114.18,0,0,5,193.52,Exhibition Centre,2
Cosco Tower,SHEUNG WAN,20750,1141250,55,22.29,114.15,10,10,20,152.08,Sheung Wan,3
Cheung Kong Center,CENTRAL,9091,1136375,125,22.28,114.16,0,2,4,399.41,Central,3
Cheung Kong Center,CENTRAL,9065,1133125,125,22.28,114.16,0,2,4,399.41,Central,3
International Commerce Centre (ICC),TSIM SHA TSUI,14656,1099200,75,22.3,114.16,1,3,13,165.93,Kowloon,2
Cheung Kong Center,CENTRAL,8708,1088500,125,22.28,114.16,0,2,4,399.41,Central,3
Central Plaza,WAN CHAI,19260,1059300,55,22.28,114.17,0,0,0,225.69,Exhibition Centre,3
Central Crossing,CENTRAL,10557,1055700,100,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10557,1055700,100,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10557,1055700,100,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10557,1055700,100,22.28,114.15,11,13,20,382.0,Central,3
Central Crossing,CENTRAL,10557,1055700,100,22.28,114.15,11,13,20,382.0,Central,3
Fairmont House,CENTRAL,13119,1037582,79,22.28,114.16,1,2,10,205.02,Admiralty,3
CITIC Tower,ADMIRALTY,14794,1035580,70,22.28,114.17,0,0,6,310.13,Admiralty,3
Man Yee Building,CENTRAL,11482,1033380,90,22.28,114.16,19,6,20,218.65,Hong Kong,4
Peninsula Centre,TSIM SHA TSUI,44809,1030607,23,22.3,114.18,0,3,20,505.39,East Tsim Sha Tsui,4
"IFC, Two",CENTRAL,7347,1028580,140,22.29,114.16,0,6,9,161.56,Hong Kong,4
Mall Plus,WAN CHAI,16823,990034,58,22.28,114.18,9,2,20,567.62,Causeway Bay,3
Lee Garden Three,CAUSEWAY BAY,16958,983564,58,22.28,114.19,1,14,20,243.86,Causeway Bay,2
The Center,CENTRAL,14908,969020,65,22.28,114.15,3,17,20,342.8,Hong Kong,3
"Nathan Road, 352",JORDAN,9655,965500,100,22.31,114.17,3,6,20,259.75,Jordan,4
"Queen's Road Central, 9",CENTRAL,13769,963830,70,22.28,114.16,3,12,20,179.98,Central,4
"IFC, One",CENTRAL,6785,949900,140,22.28,114.16,0,7,15,131.88,Hong Kong,4
Cheung Kong Center II,CENTRAL,8627,948970,110,22.28,114.16,1,3,8,271.01,Admiralty,3
Cheung Kong Center II,CENTRAL,8627,948970,110,22.28,114.16,1,3,8,271.01,Admiralty,3
Cheung Kong Center II,CENTRAL,8627,948970,110,22.28,114.16,1,3,8,271.01,Admiralty,3
Cheung Kong Center II,CENTRAL,8627,948970,110,22.28,114.16,1,3,8,271.01,Admiralty,3
