bldg_name,district,sq_ft,price
New World Tower 1,CENTRAL,"New World Tower 1
CENTRAL
Rental: HKD 667,550 / 65 p.s.f.
Size: 10,270 s.f.
Fully Fitted, High Floor, City View
Prop.#: 89194","667,550"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 657,138 / 62 p.s.f.
Size: 10,599 s.f.
Low Floor
Prop.#: 91966","657,138"
Central Crossing,CENTRAL,"Central Crossing
CENTRAL
Rental: HKD 657,138 / 62 p.s.f.
Size: 10,599 s.f.
Low Floor
Prop.#: 91965","657,138"
One Island South,WONG CHUK HANG,"One Island South
WONG CHUK HANG
Rental: HKD 656,656 / 22 p.s.f.
Price: HKD 746.2M / 25,000 p.s.f.
Size: 29,848 s.f.
Bare Shell, Mid Floor, Open View
Prop.#: 55949","656,656"
Hopewell Centre,WAN CHAI,"Hopewell Centre
WAN CHAI
Rental: HKD 655,836 / 43 p.s.f.
Size: 15,252 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 31599","655,836"
Hopewell Centre,WAN CHAI,"Hopewell Centre
WAN CHAI
Rental: HKD 655,836 / 43 p.s.f.
Size: 15,252 s.f.
Fully Fitted, City View
Prop.#: 76615","655,836"
Hopewell Centre,WAN CHAI,"Hopewell Centre
WAN CHAI
Rental: HKD 655,836 / 43 p.s.f.
Size: 15,252 s.f.
Bare Shell, Low Floor, City View
Prop.#: 76616","655,836"
Central Plaza,WAN CHAI,"Central Plaza
WAN CHAI
Rental: HKD 654,976 / 64 p.s.f.
Size: 10,234 s.f.
Bare Shell, High Floor, Sea View
Prop.#: 60407","654,976"
Kingston International Centre,KOWLOON BAY,"Kingston International Centre
KOWLOON BAY
Rental: HKD 654,626 / 23 p.s.f.
Size: 28,462 s.f.
Bare Shell, Low Floor, Partial Seaview
Prop.#: 77323","654,626"
Wu Chung House,WAN CHAI,"Wu Chung House
WAN CHAI
Rental: HKD 654,540 / 30 p.s.f.
Size: 21,818 s.f.
Fully Fitted, High Floor, City View
Prop.#: 88307","654,540"
Hopewell Centre,WAN CHAI,"Hopewell Centre
WAN CHAI
Rental: HKD 652,826 / 43 p.s.f.
Size: 15,182 s.f.
Bare Shell, Low Floor, City View
Prop.#: 76617","652,826"
"Nathan Road, 352",JORDAN,"Nathan Road, 352
JORDAN
Rental: HKD 648,128 / 38 p.s.f.
Size: 17,056 s.f.
Low Floor
Prop.#: 91786","648,128"
"Nathan Road, 352",JORDAN,"Nathan Road, 352
JORDAN
Rental: HKD 648,128 / 38 p.s.f.
Size: 17,056 s.f.
High Floor
Prop.#: 91784","648,128"
