bldg_name,district,sq_ft,price
Wanchai Commercial Centre,WAN CHAI,"Wanchai Commercial Centre
WAN CHAI
Rental: HKD 37,825 / 25 p.s.f.
Size: 1,513 s.f.
Mid Floor
Prop.#: 91070","37,825"
Methodist House,WAN CHAI,"Methodist House
WAN CHAI
Rental: HKD 37,800 / 24 p.s.f.
Size: 1,575 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 55355","37,800"
Shun Kwong Commercial Building,SHEUNG WAN,"Shun Kwong Commercial Building
SHEUNG WAN
Rental: HKD 37,789 / 23 p.s.f.
Size: 1,643 s.f.
Fully Fitted, Mid Floor, Partial Seaview
Prop.#: 67209","37,789"
Shanghai Industrial Investment Building,WAN CHAI,"Shanghai Industrial Investment Building
WAN CHAI
Rental: HKD 37,700 / 29 p.s.f.
Size: 1,300 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 49006","37,700"
Wing On Plaza,TSIM SHA TSUI,"Wing On Plaza
TSIM SHA TSUI
Rental: HKD 37,695 / 35 p.s.f.
Size: 1,077 s.f.
Furnished, Mid Floor, City View
Prop.#: 12201","37,695"
Dominion Centre,WAN CHAI,"Dominion Centre
WAN CHAI
Rental: HKD 37,680 / 24 p.s.f.
Size: 1,570 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 26168","37,680"
"Johnston Road, 208",WAN CHAI,"Johnston Road, 208
WAN CHAI
Rental: HKD 37,674 / 39 p.s.f.
Size: 966 s.f.
Bare Shell, Low Floor
Prop.#: 84076","37,674"
Po Wah Commercial Centre,WAN CHAI,"Po Wah Commercial Centre
WAN CHAI
Rental: HKD 37,560 / 30 p.s.f.
Size: 1,252 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 3088","37,560"
1 Lyndhurst Tower,CENTRAL,"1 Lyndhurst Tower
CENTRAL
Rental: HKD 37,548 / 28 p.s.f.
Size: 1,341 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 20832","37,548"
Millennium City 1 - Tower 01,KWUN TONG,"Millennium City 1 - Tower 01
KWUN TONG
Rental: HKD 37,526 / 29 p.s.f.
Size: 1,294 s.f.
Mid Floor
Prop.#: 33503","37,526"
Lee & Man Commercial Center,NORTH POINT,"Lee & Man Commercial Center
NORTH POINT
Rental: HKD 37,518 / 26 p.s.f.
Size: 1,443 s.f.
Fully Fitted, Mid Floor, Partial Seaview
Prop.#: 31778","37,518"
Hong Kong Trade Centre,SHEUNG WAN,"Hong Kong Trade Centre
SHEUNG WAN
Rental: HKD 37,500 / 25 p.s.f.
Size: 1,500 s.f.
Prop.#: 91071","37,500"
OfficePlus @Sheung Wan,SHEUNG WAN,"OfficePlus @Sheung Wan
SHEUNG WAN
Rental: HKD 37,500 / 46 p.s.f.
Size: 822 s.f.
Furnished, Mid Floor, City View
Prop.#: 62233","37,500"
OfficePlus @Sheung Wan,SHEUNG WAN,"VR TOUR
OfficePlus @Sheung Wan
SHEUNG WAN
Rental: HKD 37,500 / 46 p.s.f.
Size: 822 s.f.
Furnished, Mid Floor
Prop.#: 64200","37,500"
Chinachem Leighton Plaza,CAUSEWAY BAY,"Chinachem Leighton Plaza
CAUSEWAY BAY
Rental: HKD 37,392 / 38 p.s.f.
Size: 984 s.f.
Fully Fitted, Mid Floor, Race Course View
Prop.#: 83510","37,392"
Yam Tze Commercial Building,WAN CHAI,"Yam Tze Commercial Building
WAN CHAI
Rental: HKD 37,338 / 21 p.s.f.
Size: 1,778 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 88784","37,338"
Yam Tze Commercial Building,WAN CHAI,"Yam Tze Commercial Building
WAN CHAI
Rental: HKD 37,338 / 21 p.s.f.
Size: 1,778 s.f.
Fully Fitted, High Floor, City View
Prop.#: 78796","37,338"
World Finance Centre - North,TSIM SHA TSUI,"World Finance Centre - North
TSIM SHA TSUI
Rental: HKD 37,320 / 30 p.s.f.
Size: 1,244 s.f.
Bare Shell
Prop.#: 91233","37,320"
Peninsula Centre,TSIM SHA TSUI,"Peninsula Centre
TSIM SHA TSUI
Rental: HKD 37,206 / 26 p.s.f.
Price: HKD 16.0M / 11,181 p.s.f.
Size: 1,431 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 9841","37,206"
Wing On Cheong Building,SHEUNG WAN,"Wing On Cheong Building
SHEUNG WAN
Rental: HKD 37,198 / 24 p.s.f.
Size: 1,548 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 17117","37,198"
Wing On Cheong Building,SHEUNG WAN,"Wing On Cheong Building
SHEUNG WAN
Rental: HKD 37,198 / 24 p.s.f.
Size: 1,548 s.f.
Fully Fitted, High Floor, City View
Prop.#: 88314","37,198"
Eton Building,SHEUNG WAN,"Eton Building
SHEUNG WAN
Rental: HKD 37,004 / 25 p.s.f.
Size: 1,458 s.f.
Fully Fitted, City View
Prop.#: 89482","37,004"
OfficePlus@Wan Chai (CRE Building),WAN CHAI,"VR TOUR
OfficePlus@Wan Chai (CRE Building)
WAN CHAI
Rental: HKD 37,001 / 49 p.s.f.
Size: 749 s.f.
Furnished, High Floor, Open View
Prop.#: 21636","37,001"
Tai Tung Building,WAN CHAI,"Tai Tung Building
WAN CHAI
Rental: HKD 36,992 / 34 p.s.f.
Size: 1,088 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 40510","36,992"
Hanford Commercial Centre,JORDAN,"Hanford Commercial Centre
JORDAN
Rental: HKD 36,785 / 35 p.s.f.
Size: 1,051 s.f.
Fully Fitted, Low Floor
Prop.#: 92196","36,785"
Austin Tower,TSIM SHA TSUI,"Austin Tower
TSIM SHA TSUI
Rental: HKD 36,740 / 22 p.s.f.
Size: 1,670 s.f.
Bare Shell
Prop.#: 91768","36,740"
Infotech Centre,KWUN TONG,"Infotech Centre
KWUN TONG
Rental: HKD 36,735 / 16 p.s.f.
Size: 2,370 s.f.
Fully Fitted, Mid Floor
Prop.#: 29958","36,735"
Eastern Flower Centre,TSIM SHA TSUI,"Eastern Flower Centre
TSIM SHA TSUI
Rental: HKD 36,720 / 24 p.s.f.
Size: 1,530 s.f.
Fully Fitted, High Floor, City View
Prop.#: 27135","36,720"
Austin Tower,TSIM SHA TSUI,"Austin Tower
TSIM SHA TSUI
Rental: HKD 36,685 / 23 p.s.f.
Price: HKD 11.0M / 6,897 p.s.f.
Size: 1,595 s.f.
Fully Fitted, Mid Floor
Prop.#: 62072","36,685"
Tien Chu Commercial Building,WAN CHAI,"Tien Chu Commercial Building
WAN CHAI
Rental: HKD 36,623 / 29 p.s.f.
Size: 1,285 s.f.
Fully Fitted, Mid Floor, Sea View
Prop.#: 33701","36,623"
Tien Chu Commercial Building,WAN CHAI,"Tien Chu Commercial Building
WAN CHAI
Rental: HKD 36,623 / 29 p.s.f.
Size: 1,285 s.f.
Fully Fitted, High Floor, Sea View
Prop.#: 7215","36,623"
Chinachem Golden Plaza,TSIM SHA TSUI,"Chinachem Golden Plaza
TSIM SHA TSUI
Rental: HKD 36,616 / 23 p.s.f.
Size: 1,592 s.f.
Bare Shell, property.floor_zone_4, City View
Prop.#: 10032","36,616"
Loke Yew Building,CENTRAL,"Loke Yew Building
CENTRAL
Rental: HKD 36,480 / 48 p.s.f.
Size: 760 s.f.
Bare Shell, Low Floor
Prop.#: 70792","36,480"
South Seas Centre - Tower 1,TSIM SHA TSUI,"South Seas Centre - Tower 1
TSIM SHA TSUI
Rental: HKD 36,480 / 20 p.s.f.
Size: 1,824 s.f.
Fully Fitted
Prop.#: 87599","36,480"
AXA Southside,WONG CHUK HANG,"AXA Southside
WONG CHUK HANG
Rental: HKD 36,445 / 19 p.s.f.
Size: 1,970 s.f.
Partially Fitted, Low Floor
Prop.#: 92018","36,445"
Supreme House,TSIM SHA TSUI,"Supreme House
TSIM SHA TSUI
Rental: HKD 36,425 / 31 p.s.f.
Price: HKD 15.9M / 13,500 p.s.f.
Size: 1,175 s.f.
Partially Fitted, Low Floor, City View
Prop.#: 71368","36,425"
Inter-Continental Plaza,TSIM SHA TSUI,"Inter-Continental Plaza
TSIM SHA TSUI
Rental: HKD 36,375 / 25 p.s.f.
Price: HKD 13.1M / 9,000 p.s.f.
Size: 1,455 s.f.
Fully Fitted, High Floor, City View
Prop.#: 18520","36,375"
Inter-Continental Plaza,TSIM SHA TSUI,"Inter-Continental Plaza
TSIM SHA TSUI
Rental: HKD 36,375 / 25 p.s.f.
Price: HKD 12.8M / 8,797 p.s.f.
Size: 1,455 s.f.
Fully Fitted, High Floor, Open View
Prop.#: 18528","36,375"
Kai Tak Commercial Building,SHEUNG WAN,"Kai Tak Commercial Building
SHEUNG WAN
Rental: HKD 36,308 / 29 p.s.f.
Size: 1,252 s.f.
Bare Shell, High Floor
Prop.#: 90425","36,308"
Millennium City 5 - BEA Tower,KWUN TONG,"Millennium City 5 - BEA Tower
KWUN TONG
Rental: HKD 36,256 / 32 p.s.f.
Size: 1,133 s.f.
Bare Shell, Mid Floor
Prop.#: 89013","36,256"
Shanghai Industrial Investment Building,WAN CHAI,"Shanghai Industrial Investment Building
WAN CHAI
Rental: HKD 36,250 / 29 p.s.f.
Size: 1,250 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 81505","36,250"
Genesis,WONG CHUK HANG,"Genesis
WONG CHUK HANG
Rental: HKD 36,202 / 18 p.s.f.
Size: 2,009 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 67180","36,202"
East Town Building,WAN CHAI,"East Town Building
WAN CHAI
Rental: HKD 36,146 / 31 p.s.f.
Size: 1,166 s.f.
Bare Shell, Low Floor, City View
Prop.#: 9671","36,146"
Shun Kwong Commercial Building,SHEUNG WAN,"Shun Kwong Commercial Building
SHEUNG WAN
Rental: HKD 36,146 / 22 p.s.f.
Size: 1,643 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 16431","36,146"
Concordia Plaza,TSIM SHA TSUI,"Concordia Plaza
TSIM SHA TSUI
Rental: HKD 36,030 / 30 p.s.f.
Size: 1,201 s.f.
Fully Fitted, High Floor, Partial Seaview
Prop.#: 16961","36,030"
Chinachem Exchange Square,QUARRY BAY,"Chinachem Exchange Square
QUARRY BAY
Rental: HKD 36,008 / 28 p.s.f.
Size: 1,286 s.f.
Fully Fitted, High Floor, City View
Prop.#: 27257","36,008"
Morecrown Commercial Building,NORTH POINT,"Morecrown Commercial Building
NORTH POINT
Rental: HKD 36,005 / 28 p.s.f.
Size: 1,266 s.f.
Bare Shell, Low Floor, City View
Prop.#: 13128","36,005"
Mirror Tower,TSIM SHA TSUI,"Mirror Tower
TSIM SHA TSUI
Rental: HKD 36,003 / 33 p.s.f.
Size: 1,100 s.f.
Bare Shell, Low Floor, City View
Prop.#: 88618","36,003"
Winway Building,CENTRAL,"Winway Building
CENTRAL
Rental: HKD 36,003 / 33 p.s.f.
Size: 1,100 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 7995","36,003"
Winway Building,CENTRAL,"Winway Building
CENTRAL
Rental: HKD 36,003 / 33 p.s.f.
Size: 1,100 s.f.
Bare Shell, Mid Floor
Prop.#: 92048","36,003"
Winway Building,CENTRAL,"Winway Building
CENTRAL
Rental: HKD 36,003 / 33 p.s.f.
Size: 1,100 s.f.
Bare Shell, Mid Floor
Prop.#: 202","36,003"
K Wah Centre,NORTH POINT,"K Wah Centre
NORTH POINT
Rental: HKD 36,003 / 22 p.s.f.
Size: 1,635 s.f.
Fully Fitted, Sea View
Prop.#: 19841","36,003"
On Hing Building,CENTRAL,"VR TOUR
On Hing Building
CENTRAL
Rental: HKD 36,002 / 33 p.s.f.
Size: 1,088 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 9981","36,002"
Concordia Plaza,TSIM SHA TSUI,"Concordia Plaza
TSIM SHA TSUI
Rental: HKD 36,002 / 30 p.s.f.
Size: 1,213 s.f.
Fully Fitted, Low Floor, Open View
Prop.#: 19927","36,002"
Tung Ming Building,CENTRAL,"Tung Ming Building
CENTRAL
Rental: HKD 36,001 / 51 p.s.f.
Size: 700 s.f.
Prop.#: 86967","36,001"
Bartlock Centre,CAUSEWAY BAY,"Bartlock Centre
CAUSEWAY BAY
Rental: HKD 36,000 / 30 p.s.f.
Size: 1,200 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 36933","36,000"
East Point Centre,CAUSEWAY BAY,"East Point Centre
CAUSEWAY BAY
Rental: HKD 36,000 / 45 p.s.f.
Size: 800 s.f.
Bare Shell, High Floor, Partial Seaview
Prop.#: 16603","36,000"
Fortune House,CENTRAL,"Fortune House
CENTRAL
Rental: HKD 36,000 / 30 p.s.f.
Size: 1,200 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 34292","36,000"
Hillier Commercial Building,SHEUNG WAN,"Hillier Commercial Building
SHEUNG WAN
Rental: HKD 36,000 / 25 p.s.f.
Size: 1,440 s.f.
Fully Fitted, Low Floor
Prop.#: 91409","36,000"
Cheung Lee Commercial Building,TSIM SHA TSUI,"Cheung Lee Commercial Building
TSIM SHA TSUI
Rental: HKD 35,997 / 34 p.s.f.
Size: 1,044 s.f.
Mid Floor
Prop.#: 73433","35,997"
Willy Commercial Building,CENTRAL,"Willy Commercial Building
CENTRAL
Rental: HKD 35,997 / 57 p.s.f.
Size: 628 s.f.
Prop.#: 85087","35,997"
Emperor Hollywood Centre (Centre Hollywood),SHEUNG WAN,"Emperor Hollywood Centre (Centre Hollywood)
SHEUNG WAN
Rental: HKD 35,997 / 22 p.s.f.
Size: 1,602 s.f.
High Floor, Sea View
Prop.#: 66145","35,997"
Mirror Tower,TSIM SHA TSUI,"Mirror Tower
TSIM SHA TSUI
Rental: HKD 35,996 / 33 p.s.f.
Size: 1,080 s.f.
Bare Shell, Low Floor, City View
Prop.#: 88485","35,996"
"King's Road, 39",NORTH POINT,"King's Road, 39
NORTH POINT
Rental: HKD 35,991 / 33 p.s.f.
Size: 1,087 s.f.
Bare Shell
Prop.#: 87005","35,991"
"Kodak House, Block 2",NORTH POINT,"Kodak House, Block 2
NORTH POINT
Rental: HKD 35,910 / 15 p.s.f.
Size: 2,394 s.f.
Fully Fitted, High Floor, Sea View
Prop.#: 28951","35,910"
Golden Sun Centre,SHEUNG WAN,"Golden Sun Centre
SHEUNG WAN
Rental: HKD 35,904 / 22 p.s.f.
Price: HKD 13.9M / 8,500 p.s.f.
Size: 1,632 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 66316","35,904"
Lucky Building,CENTRAL,"Lucky Building
CENTRAL
Rental: HKD 35,808 / 32 p.s.f.
Size: 1,119 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 88463","35,808"
Bank of America Tower,CENTRAL,"Bank of America Tower
CENTRAL
Rental: HKD 35,796 / 41 p.s.f.
Price: HKD 24.3M / 28,000 p.s.f.
Size: 868 s.f.
Fully Fitted, High Floor
Prop.#: 40769","35,796"
HK Chinese Bank (CWB) Centre,CAUSEWAY BAY,"HK Chinese Bank (CWB) Centre
CAUSEWAY BAY
Rental: HKD 35,784 / 28 p.s.f.
Price: HKD 14.0M / 10,954 p.s.f.
Size: 1,278 s.f.
Fully Fitted, City View
Prop.#: 91303","35,784"
Empire Centre,TSIM SHA TSUI,"Empire Centre
TSIM SHA TSUI
Rental: HKD 35,630 / 35 p.s.f.
Size: 1,018 s.f.
Fully Fitted, Mid Floor, Partial Seaview
Prop.#: 17701","35,630"
Lee West Commercial Building,WAN CHAI,"Lee West Commercial Building
WAN CHAI
Rental: HKD 35,625 / 25 p.s.f.
Size: 1,425 s.f.
Bare Shell, Low Floor
Prop.#: 89826","35,625"
"Central Des Voeux, 308",SHEUNG WAN,"Central Des Voeux, 308
SHEUNG WAN
Rental: HKD 35,600 / 40 p.s.f.
Size: 890 s.f.
Fully Fitted, Mid Floor, Partial Seaview
Prop.#: 71650","35,600"
Leighton Centre,CAUSEWAY BAY,"Leighton Centre
CAUSEWAY BAY
Rental: HKD 35,508 / 44 p.s.f.
Size: 807 s.f.
Bare Shell, Low Floor, City View
Prop.#: 87271","35,508"
Tern Centre - Block 2,SHEUNG WAN,"Tern Centre - Block 2
SHEUNG WAN
Rental: HKD 35,504 / 25 p.s.f.
Size: 1,400 s.f.
Partially Fitted, Low Floor, City View
Prop.#: 5748","35,504"
"Grand Plaza Office Tower, Two",MONG KOK / TAI KOK TSUI,"Grand Plaza Office Tower, Two
MONG KOK / TAI KOK TSUI
Rental: HKD 35,490 / 35 p.s.f.
Size: 1,014 s.f.
Bare Shell, Mid Floor
Prop.#: 45789","35,490"
Delta House,SHATIN / FO TAN,"Delta House
SHATIN / FO TAN
Rental: HKD 35,435 / 19 p.s.f.
Size: 1,865 s.f.
Mid Floor
Prop.#: 22915","35,435"
The HUB,WONG CHUK HANG,"The HUB
WONG CHUK HANG
Rental: HKD 35,380 / 20 p.s.f.
Size: 1,769 s.f.
Bare Shell, Mid Floor
Prop.#: 87068","35,380"
Star House,TSIM SHA TSUI,"Star House
TSIM SHA TSUI
Rental: HKD 35,376 / 24 p.s.f.
Size: 1,474 s.f.
Mid Floor
Prop.#: 14177","35,376"
Kai Tak Commercial Building,SHEUNG WAN,"Kai Tak Commercial Building
SHEUNG WAN
Rental: HKD 35,336 / 28 p.s.f.
Size: 1,262 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 17053","35,336"
The Centrium,CENTRAL,"The Centrium
CENTRAL
Rental: HKD 35,302 / 38 p.s.f.
Size: 929 s.f.
Fully Fitted
Prop.#: 92071","35,302"
OfficePlus @Sheung Wan,SHEUNG WAN,"VR TOUR
OfficePlus @Sheung Wan
SHEUNG WAN
Rental: HKD 35,198 / 37 p.s.f.
Size: 950 s.f.
Furnished, Mid Floor, City View
Prop.#: 30490","35,198"
Yu Yuet Lai Building,CENTRAL,"Yu Yuet Lai Building
CENTRAL
Rental: HKD 35,064 / 36 p.s.f.
Size: 974 s.f.
Bare Shell, Low Floor, City View
Prop.#: 59637","35,064"
Skyway Centre,SHEUNG WAN,"Skyway Centre
SHEUNG WAN
Rental: HKD 35,060 / 20 p.s.f.
Size: 1,753 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 74949","35,060"
Java Commercial Centre,NORTH POINT,"Java Commercial Centre
NORTH POINT
Rental: HKD 35,006 / 22 p.s.f.
Size: 1,579 s.f.
Partially Fitted, High Floor, Sea View
Prop.#: 13088","35,006"
Austin Commercial Centre,TSIM SHA TSUI,"Austin Commercial Centre
TSIM SHA TSUI
Rental: HKD 35,005 / 30 p.s.f.
Size: 1,183 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 20999","35,005"
Hart House,TSIM SHA TSUI,"Hart House
TSIM SHA TSUI
Rental: HKD 35,004 / 34 p.s.f.
Size: 1,025 s.f.
Low Floor
Prop.#: 91344","35,004"
Sunny House,CENTRAL,"Sunny House
CENTRAL
Rental: HKD 35,002 / 32 p.s.f.
Size: 1,100 s.f.
Bare Shell, Low Floor, City View
Prop.#: 75532","35,002"
Mirror Tower,TSIM SHA TSUI,"Mirror Tower
TSIM SHA TSUI
Rental: HKD 35,002 / 36 p.s.f.
Size: 960 s.f.
Fully Fitted, Low Floor, Open View
Prop.#: 83500","35,002"
Hing Yip Commercial Centre,SHEUNG WAN,"Hing Yip Commercial Centre
SHEUNG WAN
Rental: HKD 35,001 / 39 p.s.f.
Size: 900 s.f.
Fully Fitted, Mid Floor
Prop.#: 91360","35,001"
Kwok Lun Commercial House,CENTRAL,"Kwok Lun Commercial House
CENTRAL
Rental: HKD 35,000 / 35 p.s.f.
Size: 1,000 s.f.
Bare Shell, High Floor, City View
Prop.#: 53495","35,000"
New Mandarin Plaza - Tower B,TSIM SHA TSUI,"New Mandarin Plaza - Tower B
TSIM SHA TSUI
Rental: HKD 35,000 / 25 p.s.f.
Price: HKD 9.7M / 6,900 p.s.f.
Size: 1,400 s.f.
Fully Fitted, High Floor
Prop.#: 88998","35,000"
Winway Building,CENTRAL,"Winway Building
CENTRAL
Rental: HKD 34,999 / 33 p.s.f.
Size: 1,058 s.f.
Fully Fitted, High Floor, City View
Prop.#: 46269","34,999"
Simsons Commercial Building,WAN CHAI,"Simsons Commercial Building
WAN CHAI
Rental: HKD 34,996 / 30 p.s.f.
Size: 1,172 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 52839","34,996"
Simsons Commercial Building,WAN CHAI,"Simsons Commercial Building
WAN CHAI
Rental: HKD 34,996 / 30 p.s.f.
Size: 1,172 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 86441","34,996"
Simsons Commercial Building,WAN CHAI,"Simsons Commercial Building
WAN CHAI
Rental: HKD 34,996 / 30 p.s.f.
Size: 1,172 s.f.
Fully Fitted
Prop.#: 87833","34,996"
Simsons Commercial Building,WAN CHAI,"Simsons Commercial Building
WAN CHAI
Rental: HKD 34,996 / 30 p.s.f.
Size: 1,172 s.f.
Partially Fitted, Mid Floor, City View
Prop.#: 61205","34,996"
MW One,TSIM SHA TSUI,"MW One
TSIM SHA TSUI
Rental: HKD 34,995 / 24 p.s.f.
Size: 1,436 s.f.
Bare Shell, Low Floor
Prop.#: 92097","34,995"
Foo Hoo Centre,TSIM SHA TSUI,"Foo Hoo Centre
TSIM SHA TSUI
Rental: HKD 34,994 / 25 p.s.f.
Size: 1,375 s.f.
Fully Fitted, Mid Floor
Prop.#: 9202","34,994"
Winsome House,CENTRAL,"Winsome House
CENTRAL
Rental: HKD 34,800 / 30 p.s.f.
Size: 1,160 s.f.
Bare Shell, High Floor, Open View
Prop.#: 534","34,800"
Wanchai Commercial Centre,WAN CHAI,"Wanchai Commercial Centre
WAN CHAI
Rental: HKD 34,799 / 23 p.s.f.
Size: 1,513 s.f.
Prop.#: 62740","34,799"
Hong Kong House,CENTRAL,"Hong Kong House
CENTRAL
Rental: HKD 34,775 / 33 p.s.f.
Size: 1,070 s.f.
Partially Fitted, Low Floor, City View
Prop.#: 75546","34,775"
Energy Plaza,TSIM SHA TSUI,"Energy Plaza
TSIM SHA TSUI
Rental: HKD 34,720 / 40 p.s.f.
Size: 868 s.f.
Fully Fitted, Low Floor
Prop.#: 8363","34,720"
Winsome House,CENTRAL,"Winsome House
CENTRAL
Rental: HKD 34,650 / 30 p.s.f.
Size: 1,155 s.f.
Bare Shell, Low Floor, Open View
Prop.#: 54580","34,650"
Kai Tak Commercial Building,SHEUNG WAN,"Kai Tak Commercial Building
SHEUNG WAN
Rental: HKD 34,552 / 28 p.s.f.
Size: 1,234 s.f.
Bare Shell, Low Floor, Open View
Prop.#: 86434","34,552"
Prosperous Building,CENTRAL,"Prosperous Building
CENTRAL
Rental: HKD 34,520 / 40 p.s.f.
Size: 863 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 19369","34,520"
OfficePlus@Wan Chai (CRE Building),WAN CHAI,"VR TOUR
OfficePlus@Wan Chai (CRE Building)
WAN CHAI
Rental: HKD 34,503 / 49 p.s.f.
Size: 700 s.f.
Furnished, Mid Floor, City View
Prop.#: 70213","34,503"
OfficePlus @Sheung Wan,SHEUNG WAN,"OfficePlus @Sheung Wan
SHEUNG WAN
Rental: HKD 34,499 / 42 p.s.f.
Size: 822 s.f.
Furnished, Low Floor, City View
Prop.#: 4828","34,499"
OfficePlus@Wan Chai (CRE Building),WAN CHAI,"OfficePlus@Wan Chai (CRE Building)
WAN CHAI
Rental: HKD 34,499 / 46 p.s.f.
Size: 749 s.f.
Furnished, High Floor, City View
Prop.#: 970","34,499"
Kolling Centre,TSIM SHA TSUI,"Kolling Centre
TSIM SHA TSUI
Rental: HKD 34,476 / 26 p.s.f.
Size: 1,326 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 90602","34,476"
Kolling Centre,TSIM SHA TSUI,"Kolling Centre
TSIM SHA TSUI
Rental: HKD 34,476 / 26 p.s.f.
Size: 1,326 s.f.
Fully Fitted, Mid Floor
Prop.#: 91311","34,476"
Kolling Centre,TSIM SHA TSUI,"Kolling Centre
TSIM SHA TSUI
Rental: HKD 34,476 / 26 p.s.f.
Size: 1,326 s.f.
Bare Shell, High Floor, Partial Seaview
Prop.#: 13130","34,476"
Kolling Centre,TSIM SHA TSUI,"Kolling Centre
TSIM SHA TSUI
Rental: HKD 34,476 / 26 p.s.f.
Size: 1,326 s.f.
Mid Floor, Garden View
Prop.#: 24227","34,476"
"Wellington Street, 128",CENTRAL,"Wellington Street, 128
CENTRAL
Rental: HKD 34,432 / 32 p.s.f.
Size: 1,076 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 15539","34,432"
"Yee Wo Street, 68",CAUSEWAY BAY,"Yee Wo Street, 68
CAUSEWAY BAY
Rental: HKD 34,244 / 28 p.s.f.
Size: 1,223 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 17885","34,244"
OfficePlus@Wan Chai (CRE Building),WAN CHAI,"VR TOUR
OfficePlus@Wan Chai (CRE Building)
WAN CHAI
Rental: HKD 34,200 / 33 p.s.f.
Size: 1,032 s.f.
Furnished, Mid Floor, City View
Prop.#: 23449","34,200"
Asia Standard Tower,CENTRAL,"Asia Standard Tower
CENTRAL
Rental: HKD 34,164 / 39 p.s.f.
Size: 876 s.f.
Fully Fitted, Mid Floor, City View
Prop.#: 23532","34,164"
Goldmark,CAUSEWAY BAY,"Goldmark
CAUSEWAY BAY
Rental: HKD 34,160 / 40 p.s.f.
Size: 854 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 19035","34,160"
"Heung Yip Road, 41",WONG CHUK HANG,"Heung Yip Road, 41
WONG CHUK HANG
Rental: HKD 34,155 / 23 p.s.f.
Size: 1,485 s.f.
Bare Shell, Low Floor, Sea View
Prop.#: 86674","34,155"
Queen's Centre,WAN CHAI,"Queen's Centre
WAN CHAI
Rental: HKD 34,076 / 28 p.s.f.
Size: 1,217 s.f.
Bare Shell, Mid Floor, City View
Prop.#: 39863","34,076"
Infotech Centre,KWUN TONG,"Infotech Centre
KWUN TONG
Rental: HKD 34,038 / 16 p.s.f.
Size: 2,196 s.f.
Fully Fitted, High Floor
Prop.#: 35414","34,038"
Infotech Centre,KWUN TONG,"Infotech Centre
KWUN TONG
Rental: HKD 34,038 / 16 p.s.f.
Size: 2,196 s.f.
Fully Fitted, Mid Floor
Prop.#: 67383","34,038"
Crawford House,CENTRAL,"Crawford House
CENTRAL
Rental: HKD 34,020 / 63 p.s.f.
Size: 540 s.f.
Bare Shell, City View
Prop.#: 91697","34,020"
Morecrown Commercial Building,NORTH POINT,"Morecrown Commercial Building
NORTH POINT
Rental: HKD 34,005 / 27 p.s.f.
Size: 1,266 s.f.
Bare Shell, Mid Floor
Prop.#: 44351","34,005"
Evernew House,CAUSEWAY BAY,"Evernew House
CAUSEWAY BAY
Rental: HKD 34,002 / 19 p.s.f.
Size: 1,800 s.f.
Fully Fitted, Low Floor
Prop.#: 91347","34,002"
Cameron Commercial Centre,CAUSEWAY BAY,"Cameron Commercial Centre
CAUSEWAY BAY
Rental: HKD 33,998 / 28 p.s.f.
Size: 1,219 s.f.
Fully Fitted, High Floor, City View
Prop.#: 20609","33,998"
Cameron Commercial Centre,CAUSEWAY BAY,"Cameron Commercial Centre
CAUSEWAY BAY
Rental: HKD 33,998 / 28 p.s.f.
Size: 1,219 s.f.
Fully Fitted, Low Floor, City View
Prop.#: 5824","33,998"
Wing On Cheong Building,SHEUNG WAN,"Wing On Cheong Building
SHEUNG WAN
Rental: HKD 33,994 / 22 p.s.f.
Size: 1,548 s.f.
High Floor, City View
Prop.#: 4604","33,994"
Tower 188,WAN CHAI,"Tower 188
WAN CHAI
Rental: HKD 33,936 / 24 p.s.f.
Size: 1,414 s.f.
Bare Shell, Low Floor, City View
Prop.#: 21480","33,936"
